"Time range","Instance Id","Deployment name","SKU Name","Display name","Usage type","Quantity","Display quantity","Unit","Unit price","Total","Product family"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","Cloud-Enterprise_gcp.es.datafrozen.n2.68x10x90_gcp-us-central1_16384_1","Cloud Enterprise, GCP us-central1 (Iowa), gcp.es.datafrozen.n2.68x10x90, 16GB, 1AZ","RAM Hours","672","672","hour","0.9184","617.1648","deployment"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","Cloud-Enterprise_gcp.es.datahot.n2.68x10x45_gcp-us-central1_8192_2","Cloud Enterprise, GCP us-central1 (Iowa), gcp.es.datahot.n2.68x10x45, 8GB, 2AZ","RAM Hours","672","672","hour","0.8944","601.0368","deployment"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","Cloud-Enterprise_gcp.es.datawarm.n2.68x10x190_gcp-us-central1_16384_2","Cloud Enterprise, GCP us-central1 (Iowa), gcp.es.datawarm.n2.68x10x190, 16GB, 2AZ","RAM Hours","672","672","hour","2.288","1537.536","deployment"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","Cloud-Enterprise_gcp.kibana.n2.68x32x45_gcp-us-central1_2048_2","Cloud Enterprise, GCP us-central1 (Iowa), gcp.kibana.n2.68x32x45, 2GB, 2AZ","RAM Hours","672","672","hour","0.2804","188.4288","deployment"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.data-transfer-in","GCP Data Transfer In","data-transfer-in","1991.210488556884229183197021","1991.210488556884229183197021","GB","0","0","deployment"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.data-transfer-out","GCP Data Transfer Out","data-transfer-out","63.14291382674127817153930664","63.14291382674127817153930664","GB","0.05","3.1571","deployment"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.data-transfer-inter-node","GCP Data Transfer Inter-Node","data-transfer-inter-node","5737.642451604828238487243652","5737.642451604828238487243652","GB","0.016","91.8023","deployment"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.snapshot-storage","GCP Snapshot Storage","snapshot-storage","7733.334151108994559254697574","7733.334151108994559254697574","GB","0.033","255.2","deployment"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.snapshot-api-1k","GCP Snapshot Storage API","snapshot-api-1k","7615","7615","1000 API Calls","0.0018","13.707","deployment"
"2025-10-01 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","global.synthetics-browser","Synthetics Browser","synthetics-browser","0","0","test","0.0123","0","deployment"
