"Time range","Instance Id","Deployment name","SKU Name","Display name","Usage type","Quantity","Display quantity","Unit","Unit price","Total","Product family"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","Cloud-Enterprise_aws.integrationsserver.c6gd.2_us-east-1_1024_1","Cloud Enterprise, AWS us-east-1 (N. Virginia), aws.integrationsserver.c6gd.2, 1GB, 1AZ","RAM Hours","24","24","hour","0","0","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","Cloud-Enterprise_aws.es.datahot.c6gd_us-east-1_30720_2","Cloud Enterprise, AWS us-east-1 (N. Virginia), aws.es.datahot.c6gd, 30GB, 2AZ","RAM Hours","24","24","hour","3.93","94.32","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","Cloud-Enterprise_aws.es.ml.c5d_us-east-1_4096_2","Cloud Enterprise, AWS us-east-1 (N. Virginia), aws.es.ml.c5d, 4GB, 2AZ","RAM Hours","24","24","hour","0.58","13.92","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","Cloud-Enterprise_aws.kibana.c6gd_us-east-1_4096_1","Cloud Enterprise, AWS us-east-1 (N. Virginia), aws.kibana.c6gd, 4GB, 1AZ","RAM Hours","24","24","hour","0.262","6.288","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","aws.data-transfer-in","AWS Data Transfer In","data-transfer-in","0.3785148616880178451538085938","0.3785148616880178451538085938","GB","0","0","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","aws.data-transfer-out","AWS Data Transfer Out","data-transfer-out","0.1096002701669931411743164062","0.1096002701669931411743164062","GB","0.05","0.0055","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","aws.data-transfer-inter-node","AWS Data Transfer Inter-Node","data-transfer-inter-node","13.27113016042858362197875977","13.27113016042858362197875977","GB","0.016","0.2123","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","aws.snapshot-storage","AWS Snapshot Storage","snapshot-storage","16.32005217364583645136125626","16.32005217364583645136125626","GB","0.033","0.5386","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","aws.snapshot-api-1k","AWS Snapshot Storage API","snapshot-api-1k","60","60","1000 API Calls","0.0018","0.108","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","global.synthetics-browser","Synthetics Browser","synthetics-browser","0","0","test","0.0123","0","deployment"
"2025-10-28 - 2025-10-28","1cc4937bf9df4ee9ba0cddad40bf43c5","dev-quaero-cluster_v1","global.synthetics-lightweight","Synthetics Lightweight","synthetics-lightweight","0","0","region","28","0","deployment"
"2025-10-28 - 2025-10-28","1d036448ed10472aa5827d7ab7ee8bcc","internal-search","Cloud-Enterprise_aws.integrationsserver.c5d.2_aws-us-east-2_1024_1","Cloud Enterprise, AWS us-east-2 (Ohio), aws.integrationsserver.c5d.2, 1GB, 1AZ","RAM Hours","24","24","hour","0","0","deployment"
"2025-10-28 - 2025-10-28","1d036448ed10472aa5827d7ab7ee8bcc","internal-search","Cloud-Enterprise_aws.es.datahot.i3_aws-us-east-2_2048_1","Cloud Enterprise, AWS us-east-2 (Ohio), aws.es.datahot.i3, 2GB, 1AZ","RAM Hours","24","24","hour","0.1006","2.4144","deployment"
